section,name,alias,type,default,units,dependencies
demand,demand.ProjectedPeakCommercialFacilityDemand,p_pkdem_co,SINGLE_STMT_SIMPLE,,kilowatts,demand.DemandToPeakDemandConversionFactor;demand.ProjectedCommercialFacilityDemandPerYear
demand,demand.ProjectedPeakNodalDemand,p_pkdem,SINGLE_STMT_SIMPLE,,kilowatts,demand.DemandToPeakDemandConversionFactor;demand.ProjectedNodalDemandPerYear
,Metric,mvmax,OTHER,,meters,costGrid.GridExternalSystemNodalDiscountedCostPerMeter;costGrid.GridInternalSystemNodalDiscountedCost;costGrid.GridInternalSystemNodalLevelizedCost;costMiniGrid.MiniGridSystemNodalDiscountedCost;costMiniGrid.MiniGridSystemNodalLevelizedCost;costOffGrid.OffGridSystemNodalDiscountedCost;costOffGrid.OffGridSystemNodalLevelizedCost
,System,system,OTHER,,,costMiniGrid.MiniGridSystemNodalDiscountedCost;costOffGrid.OffGridSystemNodalDiscountedCost;demand.ProjectedNodalDemandPerYear
,OffGridSystemTotal,og_ct,AGGREGATE,0,count,
,OffGridSystemTotalDiscountedDemand,og_dem_d,AGGREGATE,0,kilowatt-hours,
,OffGridSystemTotalDiscountedDieselCost,og_tot_ddc,AGGREGATE,0,dollars,
,OffGridSystemTotalDiscountedDieselFuelCost,og_tot_ddfc,AGGREGATE,0,dollars,
,OffGridSystemTotalDiscountedCost,og_tot_d,AGGREGATE,0,dollars,
,OffGridSystemTotalLevelizedCost,og_tot_lev,OTHER,,dollars per kilowatt-hour,OffGridSystemTotalDiscountedCost;OffGridSystemTotalDiscountedDemand
,OffGridSystemTotalInitialCost,og_tot_i,AGGREGATE,0,dollars,
,OffGridSystemTotalDiscountedRecurringCost,og_tot_drc,AGGREGATE,0,dollars,
,MiniGridSystemTotal,mg_ct,AGGREGATE,0,count,
,MiniGridSystemTotalDiscountedEnergyStorageCost,mg_tot_desc,AGGREGATE,0,dollars,
,MiniGridSystemTotalDiscountedGenerationCost,mg_tot_dgc,AGGREGATE,0,dollars,
